"nom.size","an","N","T","omega"
0.05,0.2,100,10,-10.1508385035857
0.038,0.3,100,10,-10.1508385035857
0.034,0.4,100,10,-10.1508385035857
0.056,0.01,100,10,-8.76974127170824
0.05,0.05,100,10,-8.76974127170824
0.042,0.1,100,10,-8.76974127170824
0.04,0.2,100,10,-8.76974127170824
0.038,0.3,100,10,-8.76974127170824
0.034,0.4,100,10,-8.76974127170824
0.058,0.01,100,10,-10.0181073597454
0.036,0.05,100,10,-10.0181073597454
0.042,0.1,100,10,-10.0181073597454
0.034,0.2,100,10,-10.0181073597454
0.032,0.3,100,10,-10.0181073597454
0.028,0.4,100,10,-10.0181073597454
0.054,0.01,100,10,-8.63863747454634
0.042,0.05,100,10,-8.63863747454634
0.05,0.1,100,10,-8.63863747454634
0.036,0.2,100,10,-8.63863747454634
0.03,0.3,100,10,-8.63863747454634
0.042,0.4,100,10,-8.63863747454634
0.044,0.01,100,10,-10.3665468358987
0.05,0.05,100,10,-10.3665468358987
0.038,0.1,100,10,-10.3665468358987
0.024,0.2,100,10,-10.3665468358987
0.032,0.3,100,10,-10.3665468358987
0.026,0.4,100,10,-10.3665468358987
0.054,0.01,100,10,-8.93353739537825
0.046,0.05,100,10,-8.93353739537825
0.036,0.1,100,10,-8.93353739537825
0.052,0.2,100,10,-8.93353739537825
0.036,0.3,100,10,-8.93353739537825
0.036,0.4,100,10,-8.93353739537825
0.034,0.01,100,10,-10.2317230516015
0.02,0.05,100,10,-10.2317230516015
0.04,0.1,100,10,-10.2317230516015
0.044,0.2,100,10,-10.2317230516015
0.042,0.3,100,10,-10.2317230516015
0.044,0.4,100,10,-10.2317230516015
0.042,0.01,100,10,-8.80006343749185
0.044,0.05,100,10,-8.80006343749185
0.048,0.1,100,10,-8.80006343749185
0.03,0.2,100,10,-8.80006343749185
0.044,0.3,100,10,-8.80006343749185
0.044,0.4,100,10,-8.80006343749185
0.05,0.01,100,10,-11.6817946633384
0.044,0.05,100,10,-11.6817946633384
0.032,0.1,100,10,-11.6817946633384
0.052,0.2,100,10,-11.6817946633384
0.034,0.3,100,10,-11.6817946633384
0.042,0.4,100,10,-11.6817946633384
0.068,0.01,100,10,-10.0087019505297
0.046,0.05,100,10,-10.0087019505297
0.046,0.1,100,10,-10.0087019505297
0.036,0.2,100,10,-10.0087019505297
0.05,0.3,100,10,-10.0087019505297
0.042,0.4,100,10,-10.0087019505297
0.04,0.01,100,10,-11.5512737029841
0.04,0.05,100,10,-11.5512737029841
0.036,0.1,100,10,-11.5512737029841
0.044,0.2,100,10,-11.5512737029841
0.02,0.3,100,10,-11.5512737029841
0.03,0.4,100,10,-11.5512737029841
0.052,0.01,100,10,-9.88027211783109
0.05,0.05,100,10,-9.88027211783109
0.032,0.1,100,10,-9.88027211783109
0.036,0.2,100,10,-9.88027211783109
0.048,0.3,100,10,-9.88027211783109
0.036,0.4,100,10,-9.88027211783109
0.058,0.01,100,10,-13.2127508230912
0.048,0.05,100,10,-13.2127508230912
0.044,0.1,100,10,-13.2127508230912
0.044,0.2,100,10,-13.2127508230912
0.038,0.3,100,10,-13.2127508230912
0.032,0.4,100,10,-13.2127508230912
0.042,0.01,100,10,-11.2476626293511
0.054,0.05,100,10,-11.2476626293511
0.06,0.1,100,10,-11.2476626293511
0.042,0.2,100,10,-11.2476626293511
0.036,0.3,100,10,-11.2476626293511
0.028,0.4,100,10,-11.2476626293511
0.054,0.01,100,10,-13.0844400462228
0.062,0.05,100,10,-13.0844400462228
0.062,0.1,100,10,-13.0844400462228
0.04,0.2,100,10,-13.0844400462228
0.048,0.3,100,10,-13.0844400462228
0.034,0.4,100,10,-13.0844400462228
0.028,0.01,100,10,-11.1219067611158
0.048,0.05,100,10,-11.1219067611158
0.04,0.1,100,10,-11.1219067611158
