nom.size,an,N,T,omega
0.052,5.00E-04,500,2,-0.307558483
0.052,0.001,500,2,-0.307558483
0.048,0.005,500,2,-0.307558483
0.044,1.00E-05,500,2,-0.279235679
0.044,5.00E-05,500,2,-0.279235679
0.044,1.00E-04,500,2,-0.279235679
0.044,5.00E-04,500,2,-0.279235679
0.044,0.001,500,2,-0.279235679
0.044,0.005,500,2,-0.279235679
0.038,1.00E-05,500,2,-0.364435441
0.038,5.00E-05,500,2,-0.364435441
0.04,1.00E-04,500,2,-0.364435441
0.04,5.00E-04,500,2,-0.364435441
0.04,0.001,500,2,-0.364435441
0.036,0.005,500,2,-0.364435441
0.032,1.00E-05,500,2,0.299406169
0.03,5.00E-05,500,2,0.299406169
0.028,1.00E-04,500,2,0.299406169
0.028,5.00E-04,500,2,0.299406169
0.028,0.001,500,2,0.299406169
0.026,0.005,500,2,0.299406169
0.044,1.00E-05,500,2,-0.001040847
0.044,5.00E-05,500,2,-0.001040847
0.044,1.00E-04,500,2,-0.001040847
0.044,5.00E-04,500,2,-0.001040847
0.044,0.001,500,2,-0.001040847
0.04,0.005,500,2,-0.001040847
0.054,1.00E-05,500,2,0.50365193
0.054,5.00E-05,500,2,0.50365193
0.05,1.00E-04,500,2,0.50365193
0.05,5.00E-04,500,2,0.50365193
0.048,0.001,500,2,0.50365193
0.046,0.005,500,2,0.50365193
0.026,1.00E-05,500,5,-0.766159318
0.026,5.00E-05,500,5,-0.766159318
0.026,1.00E-04,500,5,-0.766159318
0.026,5.00E-04,500,5,-0.766159318
0.026,0.001,500,5,-0.766159318
0.026,0.005,500,5,-0.766159318
0.028,1.00E-05,500,5,-0.651426597
0.028,5.00E-05,500,5,-0.651426597
0.028,1.00E-04,500,5,-0.651426597
0.028,5.00E-04,500,5,-0.651426597
0.028,0.001,500,5,-0.651426597
0.028,0.005,500,5,-0.651426597
0.03,1.00E-05,500,5,-0.809785959
0.03,5.00E-05,500,5,-0.809785959
0.03,1.00E-04,500,5,-0.809785959
0.03,5.00E-04,500,5,-0.809785959
0.03,0.001,500,5,-0.809785959
0.03,0.005,500,5,-0.809785959
0.034,1.00E-05,500,5,-0.303543687
0.034,5.00E-05,500,5,-0.303543687
0.032,1.00E-04,500,5,-0.303543687
0.032,5.00E-04,500,5,-0.303543687
0.032,0.001,500,5,-0.303543687
0.03,0.005,500,5,-0.303543687
0.022,1.00E-05,500,5,-0.404451011
0.022,5.00E-05,500,5,-0.404451011
0.022,1.00E-04,500,5,-0.404451011
0.022,5.00E-04,500,5,-0.404451011
0.02,0.001,500,5,-0.404451011
0.02,0.005,500,5,-0.404451011
0.036,1.00E-05,500,5,-0.231978615
0.036,5.00E-05,500,5,-0.231978615
0.036,1.00E-04,500,5,-0.231978615
0.038,5.00E-04,500,5,-0.231978615
0.038,0.001,500,5,-0.231978615
0.036,0.005,500,5,-0.231978615
0.012,1.00E-05,500,5,0.477151753
0.012,5.00E-05,500,5,0.477151753
0.012,1.00E-04,500,5,0.477151753
0.012,5.00E-04,500,5,0.477151753
0.012,0.001,500,5,0.477151753
0.012,0.005,500,5,0.477151753
0.012,1.00E-05,500,5,0.254410038
0.012,5.00E-05,500,5,0.254410038
0.012,1.00E-04,500,5,0.254410038
0.012,5.00E-04,500,5,0.254410038
0.012,0.001,500,5,0.254410038
0.012,0.005,500,5,0.254410038
0.022,1.00E-05,500,5,0.367062425
0.022,5.00E-05,500,5,0.367062425
0.022,1.00E-04,500,5,0.367062425
0.022,5.00E-04,500,5,0.367062425
0.022,0.001,500,5,0.367062425
0.022,0.005,500,5,0.367062425
0.026,1.00E-05,500,5,1.672419869
0.026,5.00E-05,500,5,1.672419869
0.028,1.00E-04,500,5,1.672419869
0.028,5.00E-04,500,5,1.672419869
0.028,0.001,500,5,1.672419869
0.028,0.005,500,5,1.672419869
0.03,1.00E-05,500,5,0.61429924
0.032,5.00E-05,500,5,0.61429924
0.03,1.00E-04,500,5,0.61429924
0.03,5.00E-04,500,5,0.61429924
0.03,0.001,500,5,0.61429924
0.028,0.005,500,5,0.61429924
0.034,1.00E-05,500,5,36.73680057
0.034,5.00E-05,500,5,36.73680057
0.034,1.00E-04,500,5,36.73680057
0.034,5.00E-04,500,5,36.73680057
0.034,0.001,500,5,36.73680057
0.034,0.005,500,5,36.73680057
0.02,1.00E-05,500,5,-0.307558483
0.02,5.00E-05,500,5,-0.307558483
0.02,1.00E-04,500,5,-0.307558483
0.02,5.00E-04,500,5,-0.307558483
0.02,0.001,500,5,-0.307558483
0.02,0.005,500,5,-0.307558483
0.024,1.00E-05,500,5,-0.279235679
0.024,5.00E-05,500,5,-0.279235679
0.024,1.00E-04,500,5,-0.279235679
0.024,5.00E-04,500,5,-0.279235679
0.024,0.001,500,5,-0.279235679
0.024,0.005,500,5,-0.279235679
0.03,1.00E-05,500,5,-0.364435441
0.03,5.00E-05,500,5,-0.364435441
0.03,1.00E-04,500,5,-0.364435441
0.03,5.00E-04,500,5,-0.364435441
0.03,0.001,500,5,-0.364435441
0.03,0.005,500,5,-0.364435441
0.03,1.00E-05,500,5,0.299406169
0.03,5.00E-05,500,5,0.299406169
0.03,1.00E-04,500,5,0.299406169
0.03,5.00E-04,500,5,0.299406169
0.03,0.001,500,5,0.299406169
0.028,0.005,500,5,0.299406169
0.018,1.00E-05,500,5,-0.001040847
0.016,5.00E-05,500,5,-0.001040847
0.016,1.00E-04,500,5,-0.001040847
0.016,5.00E-04,500,5,-0.001040847
0.018,0.001,500,5,-0.001040847
0.016,0.005,500,5,-0.001040847
0.042,1.00E-05,500,5,0.50365193
0.042,5.00E-05,500,5,0.50365193
0.04,1.00E-04,500,5,0.50365193
0.042,5.00E-04,500,5,0.50365193
0.04,0.001,500,5,0.50365193
0.038,0.005,500,5,0.50365193
0.022,1.00E-05,500,10,-0.766159318
0.022,5.00E-05,500,10,-0.766159318
0.022,1.00E-04,500,10,-0.766159318
0.022,5.00E-04,500,10,-0.766159318
0.022,0.001,500,10,-0.766159318
0.022,0.005,500,10,-0.766159318
0.036,1.00E-05,500,10,-0.651426597
0.036,5.00E-05,500,10,-0.651426597
0.036,1.00E-04,500,10,-0.651426597
0.036,5.00E-04,500,10,-0.651426597
0.036,0.001,500,10,-0.651426597
0.036,0.005,500,10,-0.651426597
0.026,1.00E-05,500,10,-0.809785959
0.026,5.00E-05,500,10,-0.809785959
0.026,1.00E-04,500,10,-0.809785959
0.026,5.00E-04,500,10,-0.809785959
0.026,0.001,500,10,-0.809785959
0.026,0.005,500,10,-0.809785959
0.052,1.00E-05,500,10,-0.303543687
0.054,5.00E-05,500,10,-0.303543687
0.054,1.00E-04,500,10,-0.303543687
0.054,5.00E-04,500,10,-0.303543687
0.054,0.001,500,10,-0.303543687
0.054,0.005,500,10,-0.303543687
0.056,1.00E-05,500,10,-0.404451011
0.056,5.00E-05,500,10,-0.404451011
0.056,1.00E-04,500,10,-0.404451011
0.056,5.00E-04,500,10,-0.404451011
0.056,0.001,500,10,-0.404451011
0.054,0.005,500,10,-0.404451011
0.05,1.00E-05,500,10,-0.231978615
0.05,5.00E-05,500,10,-0.231978615
0.05,1.00E-04,500,10,-0.231978615
0.05,5.00E-04,500,10,-0.231978615
