"padron"	"year"	"ciiu"	"rY"	"d_e"	"d_m"	"rexport"	"rMi"	"L"	"rM"	"markup"
56295	90	3220	336548	0	0	0	0	36	236628	.2458163
56295	91	3220	428233.4	0	0	0	0	35	380323.9	.0708897
56295	92	3220	525699.6	0	1	0	106901.8	37	318513.9	.3616061
56295	93	3220	588973.9	0	1	0	324298.9	37	411288.2	.2613979
56295	94	3220	747581	0	1	0	382766.1	36	514150.3	.2753766
56295	95	3220	1092848	0	1	0	445505	47	857687.9	.1779644
56295	96	3220	1268261	0	1	0	825084.8	48	977258.4	.1884323
56763	90	3220	574723	0	0	0	0	61	390600	.2497447
56763	91	3220	523358.1	0	0	0	0	83	129940.2	.6978019
56763	92	0	0	-1	-1	0	0	0	0	0
56763	93	0	0	-1	-1	0	0	0	0	0
56763	94	0	0	-1	-1	0	0	0	0	0
56763	95	0	0	-1	-1	0	0	0	0	0
56763	96	0	0	-1	-1	0	0	0	0	0
56871	90	3220	6750	0	0	0	0	12	3145	-.0028148
56871	91	3220	12757.12	0	0	0	0	11	4053.44	.4105892
56871	92	3220	14903.39	0	0	0	0	12	6281.359	.3198005
56871	93	3220	17231.4	0	0	0	0	12	5813.819	.3955713
56871	94	3220	20331.61	0	0	0	0	14	6737.977	.4054001
56871	95	3220	27972.04	0	0	0	0	14	8015.188	.4713797
56871	96	3220	20331.31	0	0	0	0	12	6780.433	.3245389
57996	90	3220	35489	0	0	0	0	19	21558	.2246893
57996	91	3220	44491.82	0	0	0	0	16	28850.03	.196908
57996	92	3220	41231.77	0	0	0	0	17	18002.35	.4372144
57996	93	3220	55362.24	0	0	0	0	18	26664.07	.3829187
57996	94	3220	71634.38	0	0	0	0	18	29401.84	.4659069
57996	95	3220	90508.48	0	0	0	0	18	26903.64	.5835837
57996	96	3220	91073.59	0	0	0	0	17	31043.36	.5420348
58032	90	3220	160491	0	0	0	0	47	67389	.3951997
58032	91	3220	161693.9	0	0	0	0	38	79856.16	.3055072
58032	92	3220	144700.8	0	0	0	0	38	71403.67	.3276424
58032	93	3220	138629.6	0	0	0	0	34	80615.73	.2422619
58032	94	3220	144944.4	0	0	0	0	34	78190.48	.2738407
58032	95	3220	159844.8	0	0	0	0	35	116270.6	.0081744
