Industry,Specification,Model Type,Alpha,Alpha SE,Mu,Mu SE,Rho,Rho SE,Beta,Beta SE,Sigma,Sigma SE,Mubar,Mubar SE
Fabricated metal products,Stationary Normal,stationary_normal,[0.352 0.403 0.245],[0.092 0.093 0.096],[-1.01  -0.557 -0.242],[0.267 0.167 0.201],0.0,0.0,[],[],[0.464 0.187 0.195],[0.121 0.093 0.074],0.0,
Fabricated metal products,Stationary Normal kmshare ciiu,stationary_normal,[0.38  0.381 0.239],[0.119 0.121 0.124],[-0.962 -0.57  -0.243],[0.296 0.239 0.309],0.0,0.0,"[[ 0.189 -0.54 ]
 [ 0.005 -0.029]
 [ 0.027 -0.125]]","[[0.094 0.713]
 [0.112 0.591]
 [0.073 0.711]]",[0.435 0.18  0.196],[0.128 0.074 0.092],0.0,
Fabricated metal products,AR1 Normal,ar1_normal,[0.178 0.209 0.614],[0.151 0.202 0.231],[-0.79  -0.569 -0.416],[0.519 0.167 1.609],[0.231 0.866 0.526],[0.223 0.24  0.25 ],[],[],[0.554 0.26  0.216],[0.191 0.161 0.077],0.0,
Fabricated metal products,AR1 Normal kmshare ciiu,ar1_normal,[0.307 0.535 0.158],[0.148 0.213 0.253],[-0.868 -0.505  0.037],[0.889 0.179 1.17 ],[0.471 0.397 0.788],[0.183 0.205 0.264],"[[ 0.157 -0.748]
 [ 0.002  0.192]
 [ 0.254 -1.885]]","[[0.28  1.312]
 [0.17  0.827]
 [2.269 1.647]]",[0.445 0.217 0.129],[0.169 0.122 0.088],0.0,
Fabricated metal products,AR1 Mixture,ar1_mixture,[0.427 0.394 0.179],[0.255 0.245 0.247],[-0.859 -0.81  -0.532 -0.525 -0.253 -0.137],[0.549 0.353 0.483 0.246 0.239 0.187],[0.494 0.136 0.01 ],[0.244 0.272 0.336],[],[],[0.442 0.165 0.138],[0.163 0.13  0.087],[-0.846 -0.531 -0.185],[0.268 0.275 0.188]
Fabricated metal products,AR1 Mixture kmshare ciiu,ar1_mixture,[0.426 0.386 0.188],[0.265 0.256 0.222],[-0.774 -0.711 -0.579 -0.293 -0.073 -0.114],[0.57  0.386 1.308 1.259 0.34  0.302],[0.559 0.01  0.431],[0.225 0.283 0.319],"[[ 0.094 -0.461]
 [-0.001  0.254]
 [ 0.127 -1.805]]","[[0.165 0.861]
 [0.195 0.852]
 [1.52  5.164]]",[0.417 0.14  0.136],[0.165 0.135 0.105],[-0.766 -0.521 -0.093],[0.412 1.275 0.314]
Textiles,Stationary Mixture,stationary_mixture,[0.056 0.511 0.433],[0.151 0.134 0.177],[-1.786 -1.662 -0.523 -0.242 -1.262 -0.791],[0.85  0.408 0.674 0.313 0.634 0.399],0.0,0.0,[],[],[0.946 0.169 0.208],[0.289 0.13  0.212],[-1.724 -0.353 -0.862],[0.525 0.415 0.472]
Textiles,Stationary Mixture kmshare ciiu,stationary_mixture,[0.115 0.426 0.459],[0.156 0.166 0.194],[-1.553 -1.292 -0.41  -0.119 -0.743 -0.722],[1.003 0.465 0.876 0.382 0.743 0.587],0.0,0.0,"[[ 0.217  0.507]
 [-0.041 -0.1  ]
 [-0.075  0.034]]","[[0.251 1.386]
 [0.22  2.627]
 [0.117 0.546]]",[0.717 0.134 0.239],[0.254 0.176 0.204],[-1.405 -0.256 -0.739],[0.571 0.484 0.597]
Textiles,Stationary Normal,stationary_normal,[0.082 0.418 0.5  ],[0.163 0.162 0.165],[-1.549 -0.835 -0.348],[0.477 0.402 0.486],0.0,0.0,[],[],[0.855 0.248 0.216],[0.339 0.234 0.251],0.0,
Textiles,Stationary Normal kmshare ciiu,stationary_normal,[0.43  0.457 0.112],[0.162 0.164 0.184],[-0.751 -0.262 -1.414],[0.584 0.373 0.422],0.0,0.0,"[[-0.057  0.039]
 [-0.037 -0.052]
 [ 0.214  0.527]]","[[0.205 0.741]
 [0.156 0.334]
 [0.176 0.338]]",[0.234 0.21  0.735],[0.289 0.232 0.226],0.0,
Textiles,AR1 Normal,ar1_normal,[0.058 0.579 0.364],[0.159 0.26  0.217],[-1.305 -0.724 -0.048],[0.457 0.232 0.281],[0.474 0.632 0.857],[0.229 0.209 0.255],[],[],[0.822 0.28  0.111],[0.362 0.525 0.211],0.0,
Textiles,AR1 Normal kmshare ciiu,ar1_normal,[0.05  0.644 0.307],[0.158 0.344 0.303],[-0.914 -0.622 -0.049],[0.454 0.25  0.791],[0.241 0.72  0.838],[0.293 0.28  0.242],"[[ 0.867 -0.826]
 [ 0.019 -0.414]
 [-0.013 -0.026]]","[[ 0.506 21.049]
 [ 0.332 57.346]
 [ 0.472  0.948]]",[0.735 0.266 0.102],[0.241 0.16  0.118],0.0,
Textiles,AR1 Mixture,ar1_mixture,[0.53  0.419 0.051],[0.331 0.324 0.257],[-0.85  -0.841 -0.556 -0.274 -0.027  0.03 ],[1.463 3.572 0.641 0.365 4.59  0.404],[0.599 0.01  0.01 ],[0.231 0.306 0.375],[],[],[0.38  0.115 0.05 ],[0.249 0.217 0.067],[-0.842 -0.389  0.002],[2.128 0.385 2.466]
Textiles,AR1 Mixture kmshare ciiu,ar1_mixture,[0.048 0.857 0.095],[0.37  0.379 0.367],[-1.489 -0.467 -2.95  -0.504 -0.223  0.029],[1.777 0.793 7.86  7.867 0.971 0.705],[0.135 0.639 0.317],[0.302 0.303 0.298],"[[ 1.37  -1.367]
 [ 0.001 -0.311]
 [-0.104  0.018]]","[[ 0.983 72.926]
 [ 6.721 82.3  ]
 [ 0.987  3.183]]",[0.01  0.233 0.041],[0.218 0.242 0.12 ],[-0.978 -0.64  -0.097],[1.159 7.832 0.671]
