,Country,Industry,Model,Stat,M=1,M=2,M=3,M=4,M=5,M=6,M=7,M=8,M=9,M=10,T
3,Chile,Food products,K,LR Crit,"10.6, 12.3, 15.4","10.8, 12.7, 16.9","11.0, 12.7, 15.8","9.5, 10.8, 13.6","10.5, 13.2, 14.7","11.3, 12.8, 14.9","10.6, 11.6, 14.4","9.2, 12.1, 16.5","10.2, 11.5, 13.5","9.4, 10.9, 13.0",5
2,Chile,Food products,K ciiu,LR,1654.0422,513.7993,209.3902,110.2282,57.0083,52.3428,36.9535,27.1044,23.8394,11.7997,3
3,Chile,Food products,K ciiu,LR Crit,"9.1, 10.5, 14.5","10.0, 10.8, 13.7","8.6, 10.2, 11.6","8.0, 9.1, 14.3","8.8, 10.3, 12.0","11.2, 12.2, 16.2","12.0, 13.4, 15.9","10.2, 11.2, 15.5","10.7, 12.4, 15.2","10.1, 11.4, 13.9",3
2,Chile,Food products,K mixture,LR,1022.4406,559.0520,212.2485,192.5316,55.2792,68.5482,52.8502,14.4142,-,-,3
2,Chile,Food products,K mixture,LR,2361.7024,1223.1799,695.4842,523.7640,294.3098,221.7348,107.3391,162.0185,-,-,5
3,Chile,Food products,K mixture,LR Crit,"10.8, 12.9, 15.6","12.9, 14.8, 19.4","12.2, 14.3, 16.9","14.8, 16.1, 18.9","12.7, 13.5, 24.6","14.9, 37.0, 123.4","15.7, 20.7, 95.2","64.5, 77.9, 95.9",-,-,3
3,Chile,Food products,K mixture,LR Crit,"10.4, 12.4, 17.6","10.4, 12.4, 17.1","11.5, 13.7, 19.4","13.3, 15.1, 19.6","13.2, 15.6, 23.8","11.8, 14.0, 16.9","10.6, 13.5, 204.8","12.9, 338.6, 509.1",-,-,5
2,Chile,Food products,K mixture 3,LR,998.6584,568.9892,202.8142,196.9651,52.5897,-,-,-,-,-,3
3,Chile,Food products,K mixture 3,LR Crit,"10.8, 14.5, 17.9","13.3, 16.0, 20.9","13.2, 15.5, 20.5","15.9, 18.2, 21.6","16.9, 185.2, 219.4",-,-,-,-,-,3
2,Chile,Food products,K mixture 3 ciiu,LR,1142.3045,456.4373,196.2372,162.8137,37.5259,-,-,-,-,-,3
3,Chile,Food products,K mixture 3 ciiu,LR Crit,"7.5, 9.5, 13.1","8.0, 11.3, 15.4","10.4, 12.5, 18.2","14.1, 16.0, 23.5","186.9, 216.9, 260.5",-,-,-,-,-,3
2,Chile,Food products,K mixture 4,LR,1002.5064,565.6801,209.7641,193.4893,42.7883,-,-,-,-,-,3
3,Chile,Food products,K mixture 4,LR Crit,"11.2, 15.0, 21.6","14.6, 17.9, 25.5","14.4, 16.0, 18.7","11.5, 13.7, 19.6","192.2, 209.3, 231.1",-,-,-,-,-,3
2,Chile,Food products,K mixture 4 ciiu,LR,1146.3741,443.1387,174.5425,193.3948,42.8616,-,-,-,-,-,3
3,Chile,Food products,K mixture 4 ciiu,LR Crit,"7.3, 12.2, 17.3","7.8, 10.9, 17.0","13.6, 16.0, 17.7","23.0, 126.0, 180.7","204.1, 215.0, 240.0",-,-,-,-,-,3
2,Chile,Food products,K mixture ciiu,LR,1165.2856,428.0574,253.8237,135.9219,33.0379,70.2819,-,-,-,-,3
3,Chile,Food products,K mixture ciiu,LR Crit,"8.8, 10.0, 13.0","22.9, 29.0, 41.2","10.8, 12.3, 16.4","7.3, 10.3, 15.9","11.3, 13.9, 160.2","59.0, 96.5, 188.9",-,-,-,-,3
2,Chile,Food products,Kmshare,LR,1512.5042,528.1119,237.7960,185.2704,65.4478,62.4611,46.5777,33.6627,22.5758,23.0554,3
3,Chile,Food products,Kmshare,LR Crit,"12.7, 14.3, 19.8","14.0, 17.1, 21.4","13.8, 15.0, 21.8","15.0, 17.2, 20.6","13.6, 16.1, 19.2","14.0, 15.0, 16.7","14.2, 16.0, 19.8","14.9, 15.9, 18.8","15.0, 15.6, 19.1","11.9, 13.8, 17.3",3
2,Chile,Food products,Kmshare mixture,LR,1034.7470,547.0429,219.9176,194.1684,54.7579,63.2807,-,-,-,-,3
3,Chile,Food products,Kmshare mixture,LR Crit,"13.1, 14.5, 19.2","15.3, 16.9, 19.4","15.6, 16.9, 21.5","17.5, 20.4, 26.4","16.0, 18.1, 23.6","20.2, 91.7, 207.6",-,-,-,-,3
2,Chile,Food products,Kmshare mixture 3,LR,1008.5580,555.1790,202.4912,199.8701,53.9496,-,-,-,-,-,3
3,Chile,Food products,Kmshare mixture 3,LR Crit,"10.4, 13.9, 20.3","18.9, 21.9, 28.6","15.1, 17.8, 21.6","18.6, 20.7, 25.1","19.6, 105.4, 217.3",-,-,-,-,-,3
2,Chile,Food products,Kmshare mixture 4,LR,1012.2300,554.8974,212.0965,195.5802,66.8595,-,-,-,-,-,3
3,Chile,Food products,Kmshare mixture 4,LR Crit,"15.6, 20.0, 25.0","19.0, 20.6, 26.2","18.1, 21.0, 24.5","13.1, 16.3, 22.1","209.7, 228.0, 246.4",-,-,-,-,-,3
2,Chile,Food products,Plain,LR,1793.5506,568.7586,298.3850,201.9535,76.5944,57.8667,36.4340,23.7302,11.3351,13.2811,3
2,Chile,Food products,Plain,LR,5091.3504,1564.9824,956.5192,726.2303,448.3361,338.1930,287.6858,217.9259,201.3033,89.0990,5
3,Chile,Food products,Plain,LR Crit,"5.6, 6.8, 8.3","6.7, 8.4, 12.0","7.1, 8.6, 11.4","7.3, 8.4, 11.4","7.3, 9.9, 11.6","6.8, 8.0, 10.1","7.8, 9.2, 11.0","6.3, 7.7, 9.1","6.0, 7.3, 9.0","5.2, 5.8, 7.4",3
3,Chile,Food products,Plain,LR Crit,"6.8, 7.7, 10.3","6.3, 7.3, 9.2","7.1, 9.5, 12.1","7.5, 8.9, 11.7","7.7, 9.6, 12.6","8.1, 9.4, 13.4","7.9, 10.1, 11.6","7.1, 8.3, 12.6","230.1, 256.0, 289.7",-,5
