Industry,AIC,AIC,AIC,BIC,BIC,BIC,LR,LR,LR,country,T,Y,LR 90,LR 90,LR 90,LR 99,LR 99,LR 99,Model
,Fabricated metal products,Food products,Textiles,Fabricated metal products,Food products,Textiles,Fabricated metal products,Food products,Textiles,,,,Fabricated metal products,Food products,Textiles,Fabricated metal products,Food products,Textiles,
Ar1 plain mixture 3,3.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,Chile,5,mLshare,,,,,,,AR1 No Covariate 3-Component Mixture
Ar1 plain mixture 3,3.0,4.0,2.0,2.0,4.0,2.0,1.0,2.0,2.0,Chile,3,mLshare,,,,,,,AR1 No Covariate 3-Component Mixture
Ar1 k,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,Chile,5,mYshare,,,,,,,AR1 K Normal
Ar1 k,10.0,10.0,10.0,2.0,5.0,3.0,3.0,7.0,3.0,Chile,3,mYshare,,,,,,,AR1 K Normal
Ar1 k,7.0,10.0,8.0,2.0,4.0,2.0,2.0,5.0,2.0,Chile,3,mLshare,,,,,,,AR1 K Normal
Ar1 k mixture,4.0,6.0,5.0,2.0,4.0,2.0,1.0,4.0,2.0,Chile,3,mLshare,,,,,,,AR1 K 2-Component Mixture
Ar1 k mixture,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,Chile,5,mYshare,,,,,,,AR1 K 2-Component Mixture
Ar1 k mixture,5.0,7.0,5.0,2.0,3.0,3.0,2.0,2.0,2.0,Chile,3,mYshare,,,,,,,AR1 K 2-Component Mixture
Ar1 k mixture 3,5.0,8.0,7.0,2.0,3.0,3.0,3.0,2.0,1.0,Chile,3,mYshare,,,,,,,AR1 K 3-Component Mixture
Ar1 k mixture 3,4.0,5.0,5.0,1.0,2.0,2.0,1.0,2.0,1.0,Chile,3,mLshare,,,,,,,AR1 K 3-Component Mixture
Ar1 k ciiu,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,Chile,5,mYshare,,,,,,,AR1 K Normal control CIIU4
Ar1 k ciiu,7.0,4.0,5.0,2.0,4.0,3.0,2.0,2.0,3.0,Chile,3,mYshare,,,,,,,AR1 K Normal control CIIU4
Ar1 k mixture ciiu,8.0,10.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,Chile,3,mYshare,,,,,,,AR1 K 2-Component Mixture control CIIU4
Ar1 k mixture ciiu,4.0,7.0,3.0,2.0,4.0,3.0,2.0,1.0,2.0,Chile,5,mYshare,,,,,,,AR1 K 2-Component Mixture control CIIU4
Ar1 k mixture 3 ciiu,4.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,Chile,3,mYshare,,,,,,,AR1 K 3-Component Mixture control CIIU4
Ar1 k mixture 3 ciiu,5.0,6.0,4.0,3.0,4.0,3.0,2.0,1.0,2.0,Chile,5,mYshare,,,,,,,AR1 K 3-Component Mixture control CIIU4
Ar1 kmshare ciiu,4.0,7.0,5.0,3.0,4.0,4.0,3.0,5.0,4.0,Chile,5,mYshare,3.0,5.0,4.0,3.0,5.0,4.0,AR1 kmshare Normal control CIIU4
Ar1 kmshare ciiu,3.0,6.0,4.0,2.0,2.0,3.0,2.0,4.0,3.0,Chile,3,mYshare,,,,,,,AR1 kmshare Normal control CIIU4
Ar1 kmshare ciiu,5.0,8.0,6.0,2.0,3.0,2.0,3.0,5.0,2.0,Chile,3,mLshare,,,,,,,AR1 kmshare Normal control CIIU4
Ar1 kmshare mixture ciiu,5.0,6.0,5.0,3.0,4.0,3.0,2.0,1.0,2.0,Chile,5,mYshare,2.0,1.0,2.0,2.0,1.0,2.0,AR1 kmshare 2-Component Mixture control CIIU4
Ar1 kmshare mixture ciiu,4.0,8.0,6.0,2.0,5.0,3.0,2.0,3.0,2.0,Chile,3,mYshare,,,,,,,AR1 kmshare 2-Component Mixture control CIIU4
Ar1 kmshare mixture ciiu,5.0,6.0,6.0,2.0,4.0,2.0,3.0,2.0,2.0,Chile,3,mLshare,,,,,,,AR1 kmshare 2-Component Mixture control CIIU4
Ar1 kmshare mixture 3 ciiu,3.0,6.0,5.0,1.0,3.0,2.0,1.0,2.0,1.0,Chile,3,mLshare,,,,,,,AR1 kmshare 3-Component Mixture control CIIU4
Ar1 kmshare mixture 3 ciiu,7.0,5.0,6.0,2.0,4.0,3.0,1.0,2.0,2.0,Chile,3,mYshare,,,,,,,AR1 kmshare 3-Component Mixture control CIIU4
